Date,Country,Time,Venue,Fav,Odds,Start Bank,Stake,Result,Net
17:50 08-06,GB,2.06,Goodwood,Fine Interview,2.06,212.46,6.37,WIN,6.76
17:50 08-06,GB,2.06,Goodwood,Fine Interview,2.06,219.22,6.58,WIN,6.97
17:50 08-06,GB,2.06,Goodwood,Fine Interview,2.06,226.19,6.79,LOSS,-6.79
19:35 08-06,GB,4.4,Goodwood,Miss Tonnerre,4.40,219.40,6.79,LOSS,-6.79
20:10 08-06,GB,4.4,Goodwood,Spirit Mixer,4.40,212.62,6.79,LOSS,-6.79
21:20 08-06,GB,2.82,Goodwood,Nariko,2.82,205.83,6.79,LOSS,-6.79
18:12 08-06,GB,6.2,Perth,Away She Goes,6.20,199.05,6.79,LOSS,-6.79
18:47 08-06,GB,3.6,Perth,The Last Cloud,3.60,192.26,6.79,LOSS,-6.79
19:57 08-06,GB,4.8,Perth,Statuario,4.80,185.48,6.79,LOSS,-6.79
20:32 08-06,GB,4.5,Perth,Hardy Diamond,4.50,178.69,6.79,LOSS,-6.79
21:07 08-06,GB,3.1,Perth,The Flying Poet,3.10,171.90,6.79,LOSS,-6.79
21:42 08-06,GB,3.05,Perth,Happy Index,3.05,165.12,6.79,LOSS,-6.79
18:00 08-06,IE,2.96,Punchestown,Lisnagar Fortune,2.96,158.33,6.79,LOSS,-6.79
18:35 08-06,IE,5.7,Punchestown,Rose Boum,5.70,151.55,6.79,LOSS,-6.79
19:45 08-06,IE,3.0,Punchestown,Joli Travail,3.00,144.76,6.79,LOSS,-6.79
20:20 08-06,IE,4.3,Punchestown,Stay Gold,4.30,137.98,6.79,LOSS,-6.79
21:30 08-06,IE,3.6,Punchestown,Brosna Queen,3.60,131.19,6.79,LOSS,-6.79
